Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
C_CO2,carbon_dioxide_concentration,mmol.m-3,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min LI7500A_10Hz,0,10Hz LI7500A_10Hz,1,10Hz LI7500A_10Hz,2,10Hz"
C_CO2_kg_per_kg,carbon_dioxide_concentration_kg_per_kg,kg.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
C_H2O,water_vapour_concentration,mmol.m-3,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min LI7500A_10Hz,0,10Hz LI7500A_10Hz,1,10Hz LI7500A_10Hz,2,10Hz"
CO2_absorp,carbon_dioxide_absorptance,N/A,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min LI7500A_10Hz,0,10Hz LI7500A_10Hz,1,10Hz LI7500A_10Hz,2,10Hz"
cov_qC_CO2,covariance_qC_CO2,kg2.kg-2,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_TsonicC_CO2,covariance_TsonicC_CO2,K.kg.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_Tsonicq,covariance_Tsonicq,K.kg.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_uC_CO2,covariance_uC_CO2,m.kg.s-1.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_uq,covariance_uq,m.kg.s-1.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_vC_CO2,covariance_vC_CO2,m.kg.s-1.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_vq,covariance_vq,m.kg.s-1.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_wC_CO2,covariance_wC_CO2,m.kg.s-1.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
cov_wq,covariance_wq,m.kg.s-1.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
diag,diagnostics,N/A,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min LI7500A_10Hz,0,10Hz LI7500A_10Hz,1,10Hz LI7500A_10Hz,2,10Hz"
diag_pct,diagnostics_percentage,%,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min"
F_CO2,upward_turbulent_carbon_dioxide_flux,umol.m-2.s-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
FLAG,Status flag,N/A,,,"LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
H2O_absorp,water_vapour_absorptance,dimensionless,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min LI7500A_10Hz,0,10Hz LI7500A_10Hz,1,10Hz LI7500A_10Hz,2,10Hz"
imas,imas flag,N/A,,,"LI7500A_10Hz,2,10Hz"
imas_pct,identification_microscale_anthropogenic_sources,%,,,"LI7500A,2,10Hz LI7500A,2,30min"
nSamples,nSamples,samples/interval,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
q,specific_humidity,kg.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
Q_E,upward_turbulent_latent_heat_flux,W.m-2,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
sd_C_CO2,standard_deviation_CO2,mmol.m-3,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min"
sd_C_CO2_kg_per_kg,standard_deviation_CO2_kg_per_kg,kg.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
sd_C_H2O,standard_deviation_H2O,mmol.m-3,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min"
sd_CO2_absorp,standard_deviation_CO2_absorp,N/A,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min"
sd_H2O_absorp,standard_deviation_H2O_absorp,N/A,,,"LI7500A,0,10Hz LI7500A,0,30min LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min"
sd_q,standard_deviation_q,kg.kg-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
spike,spike_flag,N/A,,,"LI7500A_10Hz,1,10Hz LI7500A_10Hz,2,10Hz"
spike_pct,spike_percentage,%,,,"LI7500A,1,10Hz LI7500A,1,30min LI7500A,2,10Hz LI7500A,2,30min"
tol_F_CO2,tolerance_F_CO2,umol.m-2.s-1,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
tol_Q_E,tolerance_Q_E,W.m-2,,,"Li7500_ECpack,0,30min Li7500_ECpack,1,30min Li7500_ECpack,2,30min"
